Organisation_Code,Organisation_Name,ICB_Code,ICB_Name
10Q,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board"
10R,NHS Hampshire and Isle of Wight ICB,QRL,NHS Hampshire and Isle of Wight Integrated Care Board
11J,NHS Dorset ICB,QVV,NHS Dorset Integrated Care Board
11M,NHS Gloucestershire ICB,QR1,NHS Gloucestershire Integrated Care Board
11N,NHS Cornwall and The Isles of Scilly ICB,QT6,NHS Cornwall and The Isles of Scilly Integrated Care Board
11X,NHS Somerset ICB,QSL,NHS Somerset Integrated Care Board
12F,NHS Cheshire and Merseyside ICB,QYG,NHS Cheshire and Merseyside Integrated Care Board
13T,NHS North East and North Cumbria ICB,QHM,NHS North East and North Cumbria Integrated Care Board
14L,NHS Greater Manchester ICB,QOP,NHS Greater Manchester Integrated Care Board
14Y,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board"
15A,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board"
15C,"NHS Bristol, North Somerset and South Gloucestershire ICB",QUY,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board"
15E,NHS Birmingham and Solihull ICB,QHL,NHS Birmingham and Solihull Integrated Care Board
15F,NHS West Yorkshire ICB,QWO,NHS West Yorkshire Integrated Care Board
00L,NHS North East and North Cumbria ICB,QHM,NHS North East and North Cumbria Integrated Care Board
00N,NHS North East and North Cumbria ICB,QHM,NHS North East and North Cumbria Integrated Care Board
00P,NHS North East and North Cumbria ICB,QHM,NHS North East and North Cumbria Integrated Care Board
00Q,NHS Lancashire and South Cumbria ICB,QE1,NHS Lancashire and South Cumbria Integrated Care Board
00R,NHS Lancashire and South Cumbria ICB,QE1,NHS Lancashire and South Cumbria Integrated Care Board
00T,NHS Greater Manchester ICB,QOP,NHS Greater Manchester Integrated Care Board
00V,NHS Greater Manchester ICB,QOP,NHS Greater Manchester Integrated Care Board
00X,NHS Lancashire and South Cumbria ICB,QE1,NHS Lancashire and South Cumbria Integrated Care Board
00Y,NHS Greater Manchester ICB,QOP,NHS Greater Manchester Integrated Care Board
01A,NHS Lancashire and South Cumbria ICB,QE1,NHS Lancashire and South Cumbria Integrated Care Board
01D,NHS Greater Manchester ICB,QOP,NHS Greater Manchester Integrated Care Board
01E,NHS Lancashire and South Cumbria ICB,QE1,NHS Lancashire and South Cumbria Integrated Care Board
01F,NHS Cheshire and Merseyside ICB,QYG,NHS Cheshire and Merseyside Integrated Care Board
01G,NHS Greater Manchester ICB,QOP,NHS Greater Manchester Integrated Care Board
01H,NHS North East and North Cumbria ICB,QHM,NHS North East and North Cumbria Integrated Care Board
01J,NHS Cheshire and Merseyside ICB,QYG,NHS Cheshire and Merseyside Integrated Care Board
01K,NHS Lancashire and South Cumbria ICB,QE1,NHS Lancashire and South Cumbria Integrated Care Board
01T,NHS Cheshire and Merseyside ICB,QYG,NHS Cheshire and Merseyside Integrated Care Board
01V,NHS Cheshire and Merseyside ICB,QYG,NHS Cheshire and Merseyside Integrated Care Board
01W,NHS Greater Manchester ICB,QOP,NHS Greater Manchester Integrated Care Board
01X,NHS Cheshire and Merseyside ICB,QYG,NHS Cheshire and Merseyside Integrated Care Board
01Y,NHS Greater Manchester ICB,QOP,NHS Greater Manchester Integrated Care Board
02A,NHS Greater Manchester ICB,QOP,NHS Greater Manchester Integrated Care Board
02E,NHS Cheshire and Merseyside ICB,QYG,NHS Cheshire and Merseyside Integrated Care Board
02G,NHS Lancashire and South Cumbria ICB,QE1,NHS Lancashire and South Cumbria Integrated Care Board
