Service Code,Service Code Description,Is Current,2024/25 ICB Delegation Status,2025/26 ICB Delegation Status,2026/27 Delegation status,Grouping
NCBPS23G,ADULT ATAXIA TELANGIECTASIA SERVICES,1,RED,RED,RED,ACUTE
NCBPSG23,ADULT ATAXIA TELANGIECTASIA SERVICES,0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS13X,ADULT CONGENITAL HEART DISEASE SERVICES (NON-SURGICAL),1,GREEN,GREEN,GREEN,ACUTE
NCBPS13Y,ADULT CONGENITAL HEART DISEASE SURGICAL SERVICES,1,GREEN,GREEN,GREEN,ACUTE
NCBPSACC,ADULT CRITICAL CARE,1,GREEN,GREEN,GREEN,ACUTE
NCBPSACN,ADULT CRITICAL CARE NETWORK,1,BLUE,BLUE,BLUE,ACUTE
NCBPSACT,ADULT CRITICAL CARE TRANSFER SERVICE,1,GREEN,GREEN,GREEN,ACUTE
NCBPS18J,ADULT HIGH CONSEQUENCE INFECTIOUS AIRBORNE DISEASE SERVICE,1,RED,RED,RED,ACUTE
NCBPS18L,ADULT HIGH CONSEQUENCE INFECTIOUS CONTACT DISEASE SERVICE,1,RED,RED,RED,ACUTE
NCBPS39A,ADULT OESOPHAGEAL GASTRIC SERVICES IN THE FORM OF GASTRO-ELECTRICAL STIMULATION FOR PATIENTS WITH INTRACTABLE GASTROPARESIS,1,RED,RED,RED,ACUTE
NCBPS29X,ADULT PECTUS SURGERY,1,RED,RED,RED,ACUTE
NCBPS29X_TOP,ADULT PECTUS SURGERY - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS29G,ADULT PRIMARY CILIARY DYSKINESIA MANAGEMENT SERVICE,1,RED,RED,RED,ACUTE
NCBPS13B,ADULT SPECIALIST CARDIAC SERVICES: CARDIAC ELECTROPHYSIOLOGY AND ABLATION,1,GREEN,GREEN,GREEN,ACUTE
NCBPS13E,ADULT SPECIALIST CARDIAC SERVICES: CARDIAC SURGERY (INPATIENT),1,GREEN,GREEN,GREEN,ACUTE
NCBPS13E_TOP,ADULT SPECIALIST CARDIAC SERVICES: CARDIAC SURGERY (INPATIENT) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS13Z,ADULT SPECIALIST CARDIAC SERVICES: CARDIAC SURGERY (OUTPATIENT),1,GREEN,GREEN,GREEN,ACUTE
NCBPS13A,ADULT SPECIALIST CARDIAC SERVICES: COMPLEX DEVICE THERAPY,1,GREEN,GREEN,GREEN,ACUTE
NCBPS13C,ADULT SPECIALIST CARDIAC SERVICES: INHERITED CARDIAC CONDITIONS,1,GREEN,GREEN,GREEN,ACUTE
NCBPS13C_TOP,ADULT SPECIALIST CARDIAC SERVICES: INHERITED CARDIAC CONDITIONS - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS13K,ADULT SPECIALIST CARDIAC SERVICES: OTHER CARDIAC SERVICES,0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS13F,ADULT SPECIALIST CARDIAC SERVICES: PPCI FOR ST- ELEVATION MYOCARDIAL INFARCTION,1,GREEN,GREEN,GREEN,ACUTE
NCBPS13F_TOP,ADULT SPECIALIST CARDIAC SERVICES: PPCI FOR ST- ELEVATION MYOCARDIAL INFARCTION - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS13T,ADULT SPECIALIST CARDIAC SERVICES: TRANSCATHETER AORTIC VALVE REPLACEMENT (TAVI),1,GREEN,GREEN,GREEN,ACUTE
NCBPS13T_TOP,ADULT SPECIALIST CARDIAC SERVICES: TRANSCATHETER AORTIC VALVE REPLACEMENT (TAVI) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS22E,ADULT SPECIALIST EATING DISORDER SERVICES,1,AMBER,GREEN,GREEN,MENTAL HEALTH
NCBPS27Z,ADULT SPECIALIST ENDOCRINOLOGY SERVICES,1,GREEN,GREEN,GREEN,ACUTE
CCGPS08S_EXC,ADULT SPECIALIST NEUROSCIENCES SERVICES: CCG SERVICES,1,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
NCBPS08T,ADULT SPECIALIST NEUROSCIENCES SERVICES: MECHANICAL THROMBECTOMY,1,GREEN,GREEN,GREEN,ACUTE
NCBPS08T_TOP,ADULT SPECIALIST NEUROSCIENCES SERVICES: MECHANICAL THROMBECTOMY - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS08O,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,1,GREEN,GREEN,GREEN,ACUTE
NCBPS08O_TOP,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS08P,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROPHYSIOLOGY,1,GREEN,GREEN,GREEN,ACUTE
NCBPS08R,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEURORADIOLOGY,1,GREEN,GREEN,GREEN,ACUTE
NCBPS08S,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROSURGERY,1,GREEN,GREEN,GREEN,ACUTE
NCBPS08E,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROSURGERY - LOW VOLUME PROCEDURES (NATIONAL),0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS08G,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROSURGERY - LOW VOLUME PROCEDURES (NEUROSCIENCE CENTRES),0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS08F,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROSURGERY - LOW VOLUME PROCEDURES (REGIONAL),0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS08S_TOP,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROSURGERY - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS37Z,ADULT SPECIALIST OPHTHALMOLOGY SERVICES,1,GREEN,GREEN,GREEN,ACUTE
NCBPS34R,ADULT SPECIALIST ORTHOPAEDIC SERVICES: ORTHOPAEDIC REVISIONS,1,GREEN,GREEN,GREEN,ACUTE
NCBPS34A,ADULT SPECIALIST ORTHOPAEDIC SERVICES: SPECIALIST ORTHOPAEDIC SURGERY,1,GREEN,GREEN,GREEN,ACUTE
NCBPS34A_TOP,ADULT SPECIALIST ORTHOPAEDIC SERVICES: SPECIALIST ORTHOPAEDIC SURGERY - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS31Z,ADULT SPECIALIST PAIN MANAGEMENT SERVICES,1,GREEN,GREEN,GREEN,ACUTE
NCBPS13G,ADULT SPECIALIST PULMONARY HYPERTENSION SERVICES,1,RED,RED,RED,ACUTE
NCBPS11C,ADULT SPECIALIST RENAL SERVICES: ACCESS FOR RENAL DIALYSIS,1,GREEN,GREEN,GREEN,ACUTE
NCBPS11B,ADULT SPECIALIST RENAL SERVICES: RENAL DIALYSIS,1,GREEN,GREEN,GREEN,ACUTE
NCBPS11T,ADULT SPECIALIST RENAL SERVICES: RENAL TRANSPLANTATION,1,AMBER,GREEN,GREEN,ACUTE
NCBPS29M,ADULT SPECIALIST RESPIRATORY SERVICES: INTERSTITIAL LUNG DISEASE,1,GREEN,GREEN,GREEN,ACUTE
NCBPS29E,ADULT SPECIALIST RESPIRATORY SERVICES: MANAGEMENT OF CENTRAL AIRWAY OBSTRUCTION,1,AMBER,GREEN,GREEN,ACUTE
NCBPS29E_TOP,ADULT SPECIALIST RESPIRATORY SERVICES: MANAGEMENT OF CENTRAL AIRWAY OBSTRUCTION - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS29A,ADULT SPECIALIST RESPIRATORY SERVICES: PULMONARY VASCULAR SERVICES,0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS29S,ADULT SPECIALIST RESPIRATORY SERVICES: SEVERE ASTHMA,1,GREEN,GREEN,GREEN,ACUTE
NCBPS26Z,ADULT SPECIALIST RHEUMATOLOGY SERVICES,1,GREEN,GREEN,GREEN,ACUTE
NCBPS14A,ADULT SPECIALIST SERVICES FOR PEOPLE LIVING WITH HIV,1,GREEN,GREEN,GREEN,ACUTE
NCBPS30Z,ADULT SPECIALIST VASCULAR SERVICES,1,GREEN,GREEN,GREEN,ACUTE
NCBPS30Z_TOP,ADULT SPECIALIST VASCULAR SERVICES - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS29B,ADULT THORACIC SURGERY SERVICES: COMPLEX THORACIC SURGERY,1,GREEN,GREEN,GREEN,ACUTE
NCBPS29B_TOP,ADULT THORACIC SURGERY SERVICES: COMPLEX THORACIC SURGERY - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS29Z,ADULT THORACIC SURGERY SERVICES: OUTPATIENTS,1,GREEN,GREEN,GREEN,ACUTE
NCBPS02C,ADVANCED THERAPY MEDICINAL PRODUCTS (ATMPS),1,AMBER,RED,RED,ACUTE
NCBPS20A,ALKAPTONURIA SERVICE,1,RED,RED,RED,ACUTE
NCBPS29H,ALPHA 1 ANTITRYPSIN SERVICES,1,RED,RED,RED,ACUTE
NCBPSH23,ALSTRÖM SYNDROME SERVICE (ADULTS AND CHILDREN),1,RED,RED,RED,ACUTE
NCBPS37C,ARTIFICIAL EYE SERVICE,1,GREEN,GREEN,GREEN,ACUTE
NCBPS23J,ATAXIA TELANGIECTASIA SERVICE FOR CHILDREN,1,RED,RED,RED,ACUTE
NCBPSJ23,ATAXIA TELANGIECTASIA SERVICE FOR CHILDREN,0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS11A,ATYPICAL HAEMOLYTIC URAEMIC SYNDROME SERVICES (ADULTS AND CHILDREN),1,RED,RED,RED,ACUTE
NCBPS32E,AUDITORY BRAINSTEM IMPLANTS FOR CHILDREN,1,RED,RED,RED,ACUTE
NCBPS16A,AUTOIMMUNE PAEDIATRIC GUT SYNDROMES SERVICE,1,RED,RED,RED,ACUTE
NCBPS12A,AUTOLOGOUS INTESTINAL RECONSTRUCTION SERVICE FOR ADULTS,1,RED,RED,RED,ACUTE
NCBPS20B,BARDET-BIEDL SYNDROME SERVICE (ADULTS AND CHILDREN),1,RED,RED,RED,ACUTE
NCBPS36A,BARTH SYNDROME SERVICE (ADULTS AND CHILDREN),1,RED,RED,RED,ACUTE
NCBPS36B,BECKWITH-WIEDEMANN SYNDROME WITH MACROGLOSSIA SERVICE (CHILDREN),1,RED,RED,RED,ACUTE
NCBPS16B,BEHÇET’S SYNDROME SERVICE (ADULTS AND ADOLESCENTS),1,RED,RED,RED,ACUTE
NCBPS19C,BILIARY TRACT CANCER SURGERY (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS19C_TOP,BILIARY TRACT CANCER SURGERY (ADULTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPSD23,BLADDER EXSTROPHY SERVICE (CHILDREN),1,RED,RED,RED,ACUTE
NCBPS32B,BONE CONDUCTION HEARING IMPLANT SERVICE: BONE ANCHORED HEARING AIDS SERVICES (ADULTS AND CHILDREN),1,GREEN,GREEN,GREEN,ACUTE
